epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,271.837,0.76804,0.48777,0.94281,0.58195,0.48666,0.46387,0.29387,1.09404,0.94212,1.2691,0.00997143,0.00332381,0.00997143,0.00332381,0.00997143,0.00332381,0.00997143,0.00332381
2,476.383,0.77659,0.4878,0.94405,0.65587,0.48151,0.451,0.28501,1.11272,0.95445,1.28555,0.0199319,0.00664396,0.0199319,0.00664396,0.0199319,0.00664396,0.0199319,0.00664396
3,652.775,0.78282,0.48891,0.94616,0.55102,0.46716,0.4365,0.27444,1.12805,0.96044,1.27883,0.0298527,0.00995091,0.0298527,0.00995091,0.0298527,0.00995091,0.0298527,0.00995091
4,816.93,0.85926,0.57088,0.978,0.62411,0.46755,0.43861,0.27275,1.15147,0.94418,1.30047,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,978.982,0.88322,0.58901,0.99216,0.56472,0.47301,0.43985,0.27314,1.14667,0.97252,1.30493,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1144.1,0.87603,0.58201,0.98648,0.52046,0.47937,0.43864,0.27197,1.1496,0.96158,1.3144,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1306.03,0.87141,0.58524,0.9937,0.52789,0.46921,0.4326,0.26888,1.1413,0.94442,1.30056,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1466.95,0.8979,0.60483,0.99868,0.57725,0.43071,0.43882,0.26892,1.1472,0.96231,1.29719,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1627.8,0.89362,0.61479,1.00178,0.51766,0.47426,0.43508,0.27182,1.14178,0.96839,1.29864,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1789.26,0.88697,0.59467,0.99045,0.52724,0.46594,0.43039,0.26886,1.15259,0.95131,1.30703,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,1952.71,0.88984,0.60032,0.99878,0.54224,0.45345,0.4249,0.26397,1.15266,0.96198,1.30522,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,2114.42,0.88876,0.59952,0.98863,0.5703,0.45412,0.4452,0.27742,1.15096,0.9469,1.30808,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,2279.67,0.91068,0.61991,1.00742,0.56146,0.45459,0.43665,0.26951,1.15898,0.97363,1.31441,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,2444.61,0.89279,0.60502,0.99869,0.52194,0.47172,0.43278,0.27016,1.14211,0.93667,1.31006,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,2610.12,0.88157,0.58711,0.98639,0.53085,0.47014,0.4405,0.27012,1.13483,0.94032,1.28535,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
