epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0232,1.36136,1.60081,1.39328,0.43322,0.33428,0.28642,0.18799,1.49271,1.62151,1.3434,0.000113309,0.000113309,0.000113309
2,57.1161,1.31811,1.18344,1.25992,0.37409,0.32383,0.24929,0.15599,1.51652,1.68097,1.33473,0.000227857,0.000227857,0.000227857
3,82.3559,1.39737,1.22429,1.27147,0.36998,0.32889,0.26239,0.1668,1.51772,1.64682,1.34834,0.000341949,0.000341949,0.000341949
4,107.169,1.43064,1.2524,1.28139,0.38946,0.32895,0.26865,0.16654,1.50923,1.62834,1.3425,0.000342951,0.000342951,0.000342951
5,131.423,1.37684,1.21575,1.26996,0.45072,0.3021,0.27316,0.16907,1.51692,1.58235,1.33742,0.000342268,0.000342268,0.000342268
6,156.348,1.40827,1.25189,1.2918,0.40427,0.32255,0.27797,0.16986,1.49619,1.61021,1.33305,0.000341584,0.000341584,0.000341584
7,180.217,1.44504,1.22928,1.28633,0.47296,0.3011,0.28102,0.17306,1.50409,1.62408,1.3457,0.000340901,0.000340901,0.000340901
8,204.703,1.35647,1.14711,1.24356,0.37483,0.36839,0.29469,0.17645,1.51367,1.59053,1.32581,0.000340218,0.000340218,0.000340218
9,228.495,1.43805,1.29207,1.29414,0.42978,0.35423,0.27437,0.1762,1.49727,1.71158,1.3466,0.000339535,0.000339535,0.000339535
10,253.402,1.43502,1.25957,1.28288,0.362,0.34165,0.26132,0.16417,1.48661,1.56663,1.3111,0.000338852,0.000338852,0.000338852
11,277.583,1.37957,1.18294,1.24357,0.37766,0.34022,0.27787,0.16956,1.48582,1.60818,1.32526,0.000338169,0.000338169,0.000338169
12,303.495,1.3302,1.1418,1.24971,0.35769,0.3448,0.26031,0.16306,1.49651,1.58994,1.32647,0.000337486,0.000337486,0.000337486
13,328.47,1.36122,1.14554,1.23169,0.49922,0.31801,0.29423,0.18398,1.49294,1.56752,1.33846,0.000336803,0.000336803,0.000336803
14,353.228,1.38973,1.16696,1.24926,0.40437,0.32697,0.2595,0.15972,1.50313,1.59398,1.32543,0.00033612,0.00033612,0.00033612
15,377.238,1.27182,1.05916,1.19296,0.38836,0.31844,0.25356,0.15722,1.47496,1.6066,1.30712,0.000335437,0.000335437,0.000335437
16,402.011,1.36261,1.13922,1.23919,0.42427,0.32548,0.26449,0.16868,1.48546,1.57628,1.32123,0.000334753,0.000334753,0.000334753
17,426.871,1.39502,1.13243,1.23519,0.38016,0.36082,0.28805,0.18526,1.48726,1.51946,1.33333,0.00033407,0.00033407,0.00033407
18,451.26,1.42439,1.19438,1.26993,0.44175,0.31068,0.2739,0.17487,1.48597,1.61069,1.3193,0.000333387,0.000333387,0.000333387
19,475.362,1.35877,1.09683,1.21555,0.43378,0.33948,0.28785,0.18364,1.48866,1.50517,1.32656,0.000332704,0.000332704,0.000332704
20,499.293,1.34101,1.07327,1.20343,0.42607,0.34804,0.27038,0.17475,1.48609,1.55786,1.30027,0.000332021,0.000332021,0.000332021
21,524,1.22214,0.99176,1.17627,0.38777,0.33173,0.2705,0.17135,1.47761,1.59883,1.31359,0.000331338,0.000331338,0.000331338
22,549.195,1.25106,1.02611,1.1784,0.38378,0.33841,0.27014,0.17311,1.47158,1.57293,1.30193,0.000330655,0.000330655,0.000330655
23,573.558,1.27156,1.04257,1.18849,0.41568,0.36291,0.29237,0.18804,1.46678,1.53369,1.31979,0.000329972,0.000329972,0.000329972
24,599.173,1.24706,1.02183,1.18146,0.48201,0.31899,0.29782,0.18191,1.46122,1.54206,1.29715,0.000329289,0.000329289,0.000329289
25,623.887,1.19844,0.9764,1.14979,0.4684,0.32854,0.29039,0.1831,1.47342,1.59206,1.30441,0.000328606,0.000328606,0.000328606
26,649.376,1.26861,1.04627,1.19484,0.46744,0.31952,0.26885,0.17071,1.46665,1.57946,1.29177,0.000327922,0.000327922,0.000327922
27,674.733,1.33544,1.06874,1.20546,0.40092,0.33442,0.27825,0.1795,1.48408,1.58975,1.30775,0.000327239,0.000327239,0.000327239
28,698.424,1.36399,1.09916,1.21346,0.38953,0.31719,0.27704,0.1761,1.46498,1.54086,1.30028,0.000326556,0.000326556,0.000326556
29,722.562,1.38153,1.12632,1.23902,0.40571,0.34063,0.27832,0.17853,1.46988,1.55574,1.30364,0.000325873,0.000325873,0.000325873
30,746.369,1.30874,1.07483,1.21426,0.36493,0.34507,0.27628,0.17949,1.46646,1.60536,1.32414,0.00032519,0.00032519,0.00032519
31,770.299,1.31123,1.07782,1.21151,0.41949,0.31541,0.26826,0.17429,1.46459,1.62639,1.31258,0.000324507,0.000324507,0.000324507
32,795.505,1.26979,1.02146,1.18699,0.41286,0.33209,0.28153,0.1793,1.44754,1.53418,1.30293,0.000323824,0.000323824,0.000323824
33,820.379,1.24058,0.98018,1.16429,0.45566,0.33115,0.28693,0.18474,1.46052,1.55738,1.31005,0.000323141,0.000323141,0.000323141
34,845.024,1.22135,1.0124,1.18692,0.36931,0.32678,0.27867,0.17885,1.45401,1.53103,1.30244,0.000322458,0.000322458,0.000322458
35,869.149,1.27663,1.05666,1.19753,0.40209,0.33493,0.27893,0.17581,1.47058,1.57228,1.3013,0.000321775,0.000321775,0.000321775
36,894.072,1.22762,0.98045,1.16061,0.46788,0.32581,0.28189,0.17555,1.47606,1.53407,1.3045,0.000321091,0.000321091,0.000321091
37,918.711,1.29711,1.04057,1.1952,0.41793,0.33706,0.29677,0.18574,1.46955,1.56948,1.31396,0.000320408,0.000320408,0.000320408
38,942.837,1.20675,0.97963,1.16011,0.45633,0.31944,0.27911,0.17925,1.45603,1.54698,1.30659,0.000319725,0.000319725,0.000319725
39,966.936,1.29477,1.053,1.21044,0.41536,0.33062,0.28185,0.17789,1.46943,1.5476,1.32172,0.000319042,0.000319042,0.000319042
40,991.157,1.22034,0.99844,1.16916,0.43295,0.32267,0.27244,0.17921,1.45307,1.52704,1.29505,0.000318359,0.000318359,0.000318359
41,1016.23,1.22258,0.98658,1.16531,0.45151,0.32926,0.27252,0.17494,1.47035,1.54481,1.31786,0.000317676,0.000317676,0.000317676
42,1040.94,1.18102,0.9355,1.13543,0.41096,0.32216,0.28192,0.18079,1.45043,1.57644,1.28648,0.000316993,0.000316993,0.000316993
43,1065.95,1.15546,0.91913,1.12443,0.38721,0.36331,0.28737,0.18348,1.46164,1.53373,1.32043,0.00031631,0.00031631,0.00031631
44,1090,1.25317,1.0007,1.16908,0.43839,0.33741,0.30049,0.19062,1.44889,1.51054,1.31235,0.000315627,0.000315627,0.000315627
45,1114.71,1.29283,1.01606,1.18004,0.47809,0.34874,0.28816,0.18162,1.46088,1.5451,1.30186,0.000314944,0.000314944,0.000314944
46,1140.06,1.1997,0.91821,1.13129,0.47235,0.31595,0.29401,0.18,1.45305,1.51182,1.30621,0.000314261,0.000314261,0.000314261
47,1165.88,1.2368,0.98831,1.16827,0.36088,0.31914,0.2704,0.17696,1.46126,1.53178,1.31074,0.000313577,0.000313577,0.000313577
48,1190.8,1.24786,1.01954,1.18413,0.43537,0.3196,0.26598,0.17016,1.45207,1.5276,1.30924,0.000312894,0.000312894,0.000312894
49,1215.23,1.18636,0.94758,1.14072,0.43106,0.33881,0.26917,0.1737,1.4496,1.55511,1.30818,0.000312211,0.000312211,0.000312211
50,1241.02,1.23053,0.98926,1.17652,0.4747,0.34989,0.28734,0.17504,1.44457,1.57861,1.31125,0.000311528,0.000311528,0.000311528
51,1266.8,1.12308,0.88227,1.11177,0.43431,0.33352,0.28316,0.17885,1.45407,1.54192,1.30675,0.000310845,0.000310845,0.000310845
52,1290.72,1.15188,0.89669,1.12177,0.40536,0.33673,0.27864,0.1802,1.44299,1.54822,1.30263,0.000310162,0.000310162,0.000310162
53,1316.78,1.21741,0.95585,1.15943,0.42659,0.3136,0.27794,0.17712,1.46199,1.54927,1.30678,0.000309479,0.000309479,0.000309479
54,1341.11,1.26466,0.9965,1.17449,0.39489,0.32242,0.26735,0.17262,1.47202,1.57754,1.32806,0.000308796,0.000308796,0.000308796
55,1365.22,1.2526,0.97927,1.16627,0.46279,0.3429,0.28422,0.18079,1.46871,1.54079,1.32842,0.000308113,0.000308113,0.000308113
56,1390.03,1.18392,0.92735,1.13874,0.49449,0.31646,0.28599,0.18068,1.44066,1.54628,1.30945,0.000307429,0.000307429,0.000307429
57,1415.32,1.24824,0.9857,1.1615,0.45849,0.34169,0.286,0.18659,1.42813,1.54765,1.2995,0.000306746,0.000306746,0.000306746
