epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,139.523,1.04695,0.69087,1.02294,0.81807,0.83274,0.88812,0.61437,1.05499,0.72539,1.07361,0.00994152,0.00331384,0.00994152,0.00331384,0.00994152,0.00331384,0.00994152,0.00331384
2,241.936,1.03306,0.66098,1.019,0.8195,0.83028,0.88867,0.61477,1.06679,0.73424,1.08203,0.019902,0.00663401,0.019902,0.00663401,0.019902,0.00663401,0.019902,0.00663401
3,327.668,1.04626,0.66308,1.01446,0.80165,0.82298,0.86814,0.59136,1.09615,0.77089,1.10625,0.029823,0.00994098,0.029823,0.00994098,0.029823,0.00994098,0.029823,0.00994098
4,408.523,1.07418,0.67468,1.02504,0.81145,0.83132,0.87369,0.59269,1.1078,0.76188,1.10852,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,489.89,1.04664,0.68425,1.02722,0.78867,0.82839,0.86199,0.5808,1.11667,0.7978,1.11314,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,571.271,1.05332,0.67831,1.01233,0.80998,0.82088,0.87368,0.58892,1.11247,0.77805,1.10557,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,651.687,1.04653,0.69614,1.02588,0.81641,0.81366,0.88191,0.59304,1.11474,0.75313,1.1178,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,733.89,1.03751,0.65827,1.02146,0.81289,0.82008,0.88078,0.59722,1.10998,0.76605,1.11742,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,814.449,1.01294,0.65695,1.01325,0.81433,0.8268,0.88095,0.58924,1.12376,0.75537,1.12592,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,894.72,1.01683,0.63223,1.00604,0.81915,0.84199,0.88918,0.61503,1.06636,0.72163,1.08922,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,976.202,1.01234,0.63117,1.01463,0.82088,0.83113,0.88121,0.60055,1.09274,0.74651,1.10677,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,1057,1.00886,0.61911,1.00247,0.82341,0.84025,0.88591,0.60416,1.08959,0.7245,1.1032,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,1138.42,1.03175,0.64008,1.00208,0.81776,0.84709,0.87878,0.60411,1.07444,0.73337,1.09776,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,1218.45,1.0087,0.63782,1.01049,0.81111,0.84974,0.89131,0.61949,1.07419,0.72676,1.09692,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
