epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,475.315,1.40863,0.96504,1.30301,0.69064,0.64144,0.64818,0.34298,1.69105,1.1661,1.64194,0.00998361,0.00332787,0.00998361,0.00332787,0.00998361,0.00332787,0.00998361,0.00332787
2,819.577,1.41237,0.93829,1.29724,0.65471,0.66349,0.64059,0.33582,1.68686,1.12181,1.64128,0.019944,0.00664801,0.019944,0.00664801,0.019944,0.00664801,0.019944,0.00664801
3,1118.66,1.46084,0.97714,1.30973,0.63992,0.61627,0.60215,0.30833,1.76982,1.27271,1.69733,0.0298649,0.00995496,0.0298649,0.00995496,0.0298649,0.00995496,0.0298649,0.00995496
4,1394.89,1.49871,0.98966,1.33181,0.69425,0.64339,0.62996,0.33654,1.69004,1.12116,1.63226,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1673.35,1.49727,0.98333,1.33546,0.6927,0.65073,0.65662,0.33779,1.67908,1.08676,1.60843,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1958.12,1.47664,0.95395,1.32117,0.68128,0.66365,0.6505,0.34114,1.67295,1.06791,1.61742,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2247.37,1.46547,0.92716,1.32382,0.65491,0.66923,0.65427,0.34221,1.67159,1.05517,1.62608,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2535.25,1.47034,0.92451,1.31657,0.66096,0.64184,0.6591,0.35079,1.65373,1.0353,1.59562,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2813.94,1.44969,0.89997,1.30506,0.64837,0.67535,0.6615,0.36244,1.63894,1.02334,1.5837,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,3095.57,1.43717,0.88838,1.29261,0.6864,0.68871,0.67319,0.36152,1.64533,1.01197,1.61238,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,3379.74,1.44084,0.8875,1.30077,0.70386,0.65596,0.66446,0.3704,1.6125,1.03016,1.54749,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,3661.18,1.40353,0.86686,1.28497,0.68123,0.70874,0.68888,0.37851,1.61594,0.99007,1.54839,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,3939.25,1.40881,0.86019,1.28212,0.61175,0.67239,0.66538,0.36305,1.60589,0.9913,1.54903,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,4217.03,1.40125,0.86131,1.28424,0.6906,0.7005,0.6694,0.36884,1.61278,1.00142,1.55764,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,4491.81,1.39724,0.84648,1.27975,0.69311,0.68821,0.68216,0.38516,1.61831,0.99678,1.58408,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,4774.06,1.40238,0.84344,1.27389,0.68378,0.68694,0.68683,0.372,1.6086,0.977,1.55815,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,5056.64,1.38555,0.83588,1.27427,0.67278,0.72964,0.69623,0.38038,1.59715,0.97113,1.54874,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,5337.16,1.37508,0.83954,1.26889,0.64833,0.68848,0.66253,0.36343,1.5964,0.99059,1.54361,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,5624.79,1.37192,0.82132,1.25835,0.70247,0.68978,0.68058,0.36889,1.60642,0.96079,1.55134,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,5904.39,1.36755,0.81704,1.26277,0.75731,0.67554,0.68453,0.38476,1.59111,0.96769,1.54959,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,6203.34,1.36324,0.8109,1.2569,0.70754,0.63876,0.68719,0.37683,1.61269,0.98293,1.54973,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,6488.99,1.3651,0.81354,1.25724,0.66941,0.69039,0.69022,0.38245,1.59608,0.96097,1.52908,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,6765.57,1.35764,0.79778,1.25725,0.71708,0.67823,0.69373,0.38398,1.58339,0.95871,1.54197,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,7042.02,1.34703,0.79298,1.25474,0.63992,0.70152,0.68585,0.37223,1.61019,0.95155,1.5633,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,7317.52,1.33944,0.79351,1.25312,0.72955,0.70461,0.70296,0.39434,1.58041,0.96264,1.55759,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,7596.79,1.34204,0.79676,1.24134,0.7233,0.68277,0.6982,0.38749,1.58852,0.94849,1.56686,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,7872.26,1.33924,0.78492,1.23872,0.7364,0.68853,0.68938,0.38548,1.59179,0.97114,1.56434,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,8155.66,1.32186,0.77888,1.22826,0.70382,0.704,0.69969,0.38915,1.57878,0.95405,1.54202,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,8444.59,1.32273,0.77981,1.23765,0.71575,0.71113,0.70769,0.39499,1.57864,0.95172,1.55993,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,8731.14,1.32314,0.77825,1.23711,0.71226,0.70043,0.69577,0.37888,1.58531,0.96205,1.51987,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,9014.13,1.31547,0.7662,1.21601,0.70706,0.69113,0.70361,0.38811,1.57864,0.92484,1.5298,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,9291.52,1.31641,0.77524,1.22194,0.69048,0.69857,0.69355,0.39427,1.56833,0.95894,1.51746,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,9570.24,1.31281,0.76733,1.22544,0.70385,0.69538,0.69704,0.39312,1.56833,0.9411,1.53303,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
