epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9139,1.98526,3.83508,1.80762,0.29261,0.06045,0.02848,0.01163,2.35474,3.87769,2.20884,0.000233593,0.000233593,0.000233593
2,44.9041,2.00215,2.89387,1.79063,0.29768,0.10498,0.04071,0.01296,2.44291,4.01909,2.16405,0.000470659,0.000470659,0.000470659
3,65.7765,2.00083,2.7294,1.79215,0.31985,0.08495,0.04784,0.01851,2.40354,3.48159,2.14358,0.000706783,0.000706783,0.000706783
4,86.5632,1.9823,2.61743,1.73875,0.3206,0.11391,0.05141,0.02095,nan,nan,nan,0.000709759,0.000709759,0.000709759
5,107.199,1.9538,2.52454,1.70536,0.31222,0.11881,0.05947,0.02152,2.42114,3.42666,2.06998,0.000708345,0.000708345,0.000708345
6,127.869,2.00846,2.62443,1.77347,0.28434,0.1131,0.04757,0.01967,2.29743,3.70549,2.07186,0.000706931,0.000706931,0.000706931
7,148.479,2.03609,2.5163,1.72834,0.3872,0.10923,0.07728,0.03126,2.27985,3.25706,2.05577,0.000705518,0.000705518,0.000705518
8,168.808,1.96482,2.51927,1.76417,0.3732,0.13402,0.07894,0.03241,2.27487,3.17032,2.08253,0.000704104,0.000704104,0.000704104
9,189.076,2.00785,2.45444,1.72334,0.38228,0.15552,0.09351,0.03657,2.30016,2.9488,2.03746,0.00070269,0.00070269,0.00070269
10,209.853,1.93518,2.35032,1.70131,0.13638,0.15955,0.08482,0.03282,2.24308,3.11669,2.00755,0.000701277,0.000701277,0.000701277
11,230.134,1.935,2.39698,1.74544,0.35944,0.14346,0.08174,0.03451,2.274,3.16028,2.02089,0.000699863,0.000699863,0.000699863
12,250.392,1.95901,2.44439,1.75512,0.38909,0.1542,0.10633,0.0431,2.19378,2.99882,1.99747,0.000698449,0.000698449,0.000698449
13,270.424,1.89095,2.32923,1.67852,0.40575,0.13653,0.10861,0.0436,2.16986,3.15784,1.96845,0.000697035,0.000697035,0.000697035
14,290.711,1.87342,2.29565,1.68765,0.15095,0.18331,0.10403,0.04484,2.25012,2.84453,2.01119,0.000695622,0.000695622,0.000695622
15,310.766,1.85044,2.19267,1.66401,0.18264,0.15532,0.09946,0.04103,2.15811,2.92845,1.9819,0.000694208,0.000694208,0.000694208
16,330.544,1.88375,2.32013,1.71124,0.14472,0.16621,0.08928,0.03884,2.19136,3.14633,1.98612,0.000692794,0.000692794,0.000692794
17,350.168,1.90196,2.24664,1.6736,0.20792,0.17703,0.11855,0.05248,2.14615,2.85259,1.96062,0.00069138,0.00069138,0.00069138
18,370.81,1.84856,2.08888,1.61448,0.23038,0.19247,0.12888,0.05357,2.11536,2.75024,1.89848,0.000689967,0.000689967,0.000689967
19,390.638,1.84884,2.15779,1.67356,0.25257,0.199,0.14537,0.06336,2.1394,2.7203,1.92037,0.000688553,0.000688553,0.000688553
20,410.807,1.80954,2.16406,1.6349,0.23635,0.20422,0.15007,0.06436,2.09123,2.6584,1.89525,0.000687139,0.000687139,0.000687139
21,431.035,1.79654,2.11276,1.62392,0.23656,0.21864,0.1515,0.06536,2.08463,2.7685,1.88706,0.000685726,0.000685726,0.000685726
22,451.157,1.81589,2.0453,1.63849,0.25724,0.22222,0.14544,0.06173,2.05976,2.7558,1.86652,0.000684312,0.000684312,0.000684312
23,470.902,1.79877,2.03603,1.59897,0.38997,0.18773,0.16211,0.0676,2.09577,2.59135,1.91906,0.000682898,0.000682898,0.000682898
24,491.236,1.84361,2.09233,1.65463,0.31953,0.23287,0.17744,0.07684,2.08751,2.57901,1.88295,0.000681484,0.000681484,0.000681484
25,511.56,1.78913,2.06904,1.6471,0.30875,0.25209,0.16889,0.07665,2.09949,2.63768,1.90339,0.000680071,0.000680071,0.000680071
26,531.071,1.78654,2.04665,1.6306,0.26375,0.19622,0.15059,0.06513,2.14259,2.80646,1.95887,0.000678657,0.000678657,0.000678657
27,550.536,1.7556,2.0365,1.59831,0.27993,0.23585,0.17958,0.08246,2.03192,2.5686,1.85312,0.000677243,0.000677243,0.000677243
28,570.474,1.73054,2.01311,1.61186,0.35372,0.23377,0.20639,0.0901,2.05419,2.46844,1.83146,0.00067583,0.00067583,0.00067583
29,590.544,1.72508,1.87816,1.54235,0.33792,0.27008,0.20257,0.09153,2.04068,2.51314,1.88067,0.000674416,0.000674416,0.000674416
30,610.519,1.71886,1.85126,1.52361,0.23537,0.23049,0.16324,0.071,2.0351,2.63824,1.86978,0.000673002,0.000673002,0.000673002
31,629.869,1.71456,1.8788,1.53331,0.29605,0.25403,0.20735,0.09208,2.07993,2.58194,1.86231,0.000671588,0.000671588,0.000671588
32,650.495,1.71162,1.8111,1.54754,0.32138,0.27008,0.20838,0.09335,2.04829,2.4452,1.8646,0.000670175,0.000670175,0.000670175
33,671.014,1.69745,1.93319,1.58596,0.31344,0.28038,0.21181,0.09147,2.0472,2.36009,1.86023,0.000668761,0.000668761,0.000668761
34,690.285,1.71942,1.91351,1.56117,0.30386,0.27757,0.20629,0.09312,2.02103,2.43209,1.84866,0.000667347,0.000667347,0.000667347
35,709.823,1.69043,1.84923,1.5526,0.33902,0.24328,0.19914,0.08347,2.04261,2.54018,1.89064,0.000665934,0.000665934,0.000665934
