epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,74.9518,1.14382,1.69643,1.43899,0.70108,0.72624,0.73586,0.51244,1.19927,1.46243,1.36238,0.00988764,0.00329588,0.00988764,0.00329588,0.00988764,0.00329588,0.00988764,0.00329588
2,131.746,1.11083,1.20094,1.23116,0.51505,0.30834,0.30758,0.1839,1.73349,3.44886,1.59006,0.0198483,0.00661609,0.0198483,0.00661609,0.0198483,0.00661609,0.0198483,0.00661609
3,179.002,1.25481,1.50597,1.21084,0.47872,0.39024,0.36241,0.22372,1.2492,6.5968,1.31768,0.0297693,0.0099231,0.0297693,0.0099231,0.0297693,0.0099231,0.0297693,0.0099231
4,223.616,1.54995,1.96928,1.363,0.47124,0.28273,0.22631,0.12334,1.51705,10.6011,1.55291,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,268.096,1.45821,1.83227,1.31606,0.57289,0.20081,0.23146,0.13014,1.42847,4.25729,1.42289,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,311.974,1.47619,1.72791,1.28778,0.43072,0.29357,0.3083,0.18925,1.41546,2.38578,1.4729,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,357.859,1.44514,1.65234,1.31979,0.69695,0.26896,0.34394,0.20148,1.34728,2.31842,1.37097,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,402.775,1.45083,1.61026,1.27707,0.57893,0.3896,0.4567,0.2813,1.28538,1.7402,1.32781,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,446.998,1.40387,1.45155,1.3075,0.65519,0.41159,0.51066,0.31641,1.18787,1.5025,1.23518,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,491.458,1.35464,1.3911,1.2786,0.63698,0.4558,0.53462,0.32757,1.22864,1.528,1.271,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,535.885,1.36824,1.34253,1.26757,0.54958,0.47203,0.51391,0.30945,1.22283,1.34798,1.23861,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,581.668,1.33611,1.27152,1.2375,0.70317,0.47169,0.58995,0.36927,1.18185,1.26612,1.25166,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,626.219,1.32413,1.29173,1.20267,0.64945,0.5326,0.59681,0.36945,1.18633,1.28044,1.24622,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,671.401,1.27417,1.23711,1.22127,0.71535,0.54689,0.65898,0.42351,1.09601,1.05286,1.1813,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,717.167,1.24072,1.10419,1.18958,0.73621,0.54609,0.66672,0.43642,1.11613,1.10561,1.18546,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,763.099,1.25145,1.15689,1.16843,0.73853,0.513,0.62958,0.40799,1.08258,1.07674,1.17623,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,806.69,1.242,1.10091,1.16207,0.70341,0.52008,0.61619,0.41298,1.07787,1.04352,1.1883,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,851.071,1.21873,1.06908,1.22401,0.76874,0.57342,0.69125,0.44304,1.10399,1.00692,1.19134,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,895.038,1.2072,1.03596,1.18523,0.60383,0.68392,0.69623,0.46123,1.06285,0.95711,1.16433,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,942.038,1.21388,0.99001,1.17102,0.70294,0.55842,0.64572,0.43275,1.08085,1.00953,1.17971,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,987.031,1.16206,0.9317,1.16554,0.75678,0.6522,0.73681,0.49895,1.01151,0.89992,1.10718,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,1031.46,1.20294,0.99935,1.16238,0.81304,0.63962,0.74659,0.50292,1.01502,0.86482,1.13614,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,1075.47,1.17678,0.94238,1.16084,0.72407,0.63356,0.70305,0.46015,1.08352,0.96702,1.17977,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,1119.75,1.15353,0.91438,1.11091,0.65692,0.67148,0.71819,0.47775,1.04735,0.92515,1.17651,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,1163.51,1.14243,0.92616,1.13487,0.83628,0.60896,0.72773,0.50085,1.00554,0.85256,1.12428,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,1207.38,1.16829,0.90388,1.13978,0.7096,0.63221,0.70742,0.48136,1.0128,0.92602,1.14534,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,1251.64,1.13649,0.88447,1.1122,0.74036,0.62957,0.7309,0.48071,1.03159,0.89948,1.14673,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,1295.4,1.10756,0.86251,1.14899,0.78007,0.64859,0.74393,0.46559,1.09513,0.88753,1.15275,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,1339.5,1.09851,0.88152,1.11003,0.81113,0.72022,0.77659,0.51824,0.99702,0.82058,1.1276,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,1384.54,1.11242,0.85194,1.11643,0.78334,0.65594,0.73725,0.48298,1.02226,0.86758,1.16066,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,1429.97,1.10095,0.83101,1.10555,0.84789,0.66002,0.75429,0.51681,1.02183,0.84287,1.15909,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,1474.57,1.06795,0.7699,1.1122,0.73745,0.67434,0.74913,0.49917,1.00918,0.80986,1.13857,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,1520.27,1.0756,0.81929,1.13332,0.85228,0.68996,0.80139,0.55174,0.98092,0.76129,1.12053,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
