epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1154.93,1.51399,1.21279,1.3567,0.65986,0.48878,0.54638,0.34028,1.58555,1.27708,1.51695,0.00999332,0.00333111,0.00999332,0.00333111,0.00999332,0.00333111,0.00999332,0.00333111
2,1990.08,1.465,1.11301,1.30853,0.64335,0.48821,0.53485,0.32951,1.60578,1.33743,1.53147,0.0198944,0.00663145,0.0198944,0.00663145,0.0198944,0.00663145,0.0198944,0.00663145
3,2706.04,1.48707,1.13191,1.32472,0.63393,0.48597,0.53315,0.32659,1.60732,1.35489,1.5429,0.0296964,0.0098988,0.0296964,0.0098988,0.0296964,0.0098988,0.0296964,0.0098988
4,3376.31,1.47887,1.12639,1.32011,0.64718,0.50342,0.55868,0.34929,1.55947,1.27897,1.50748,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,4048.37,1.41338,1.05022,1.28916,0.67159,0.52582,0.58137,0.37055,1.48503,1.19746,1.47433,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,4726.16,1.39162,1.0358,1.27883,0.66912,0.53156,0.58996,0.37444,1.46718,1.17687,1.45176,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,5406.35,1.36079,0.99976,1.26082,0.67849,0.55156,0.6091,0.39398,1.4105,1.12644,1.42535,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,6085.17,1.33722,0.98467,1.25057,0.66564,0.54904,0.60356,0.39262,1.41781,1.12574,1.42002,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,6765.66,1.31757,0.97183,1.24337,0.68502,0.55601,0.62037,0.40545,1.37361,1.07868,1.38715,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,7447.29,1.30878,0.94989,1.23118,0.69211,0.5653,0.62764,0.41501,1.34804,1.05983,1.37486,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,8119.27,1.30145,0.94814,1.22518,0.69571,0.56021,0.62801,0.41601,1.33225,1.05339,1.36858,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,8797.71,1.28781,0.93788,1.21763,0.69824,0.5638,0.63168,0.42084,1.32122,1.04385,1.35321,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,9478.5,1.26705,0.92425,1.21052,0.70098,0.57393,0.64101,0.42649,1.31376,1.0241,1.35638,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,10159.2,1.25182,0.89839,1.1993,0.7057,0.56981,0.64097,0.42775,1.3084,1.01956,1.34427,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,10835.8,1.26103,0.91558,1.2042,0.70364,0.57715,0.64688,0.43273,1.29247,1.01097,1.34807,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,11514,1.26065,0.91881,1.20534,0.70282,0.57819,0.64533,0.43386,1.28691,1.0037,1.33892,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,12190.9,1.23259,0.88801,1.18439,0.71075,0.57923,0.65174,0.43764,1.28062,0.99399,1.33151,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,12868.3,1.2317,0.88689,1.18927,0.71317,0.58173,0.655,0.44094,1.27392,0.99023,1.32913,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,13544.9,1.23404,0.88728,1.18519,0.71159,0.58651,0.65717,0.44367,1.26763,0.9814,1.32349,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,14225.2,1.22565,0.88541,1.18691,0.71423,0.5855,0.65726,0.44472,1.25873,0.98351,1.3222,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,14903.2,1.2288,0.88135,1.18925,0.71319,0.58627,0.65965,0.44721,1.25828,0.97367,1.32249,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,15581.1,1.21946,0.87472,1.18333,0.71539,0.58913,0.6609,0.44824,1.25435,0.96451,1.31484,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
